type,market,code,date,year,pre5,day0,react2,gap,hold1,hold3,hold5,hold10,hold20
주식소각결정,코스닥시장,006730,2025-06-09,2025,0.045604802947874945,0.005684233026755614,0.00968357950331399,0.0019453578057574113,0.0021450125065191417,-0.0379022315695949,0.05022717913051618,0.10543792100136887,0.18748456948715378
주식소각결정,코스닥시장,017890,2025-05-29,2025,0.0058514577381711935,0.006384445616555236,0.0007624042297455788,0.004550137424026317,-0.01005817325322271,-0.004097305955452178,0.017142861061872836,0.005932531579636129,-0.019394668862525444
주식소각결정,코스닥시장,083930,2025-05-26,2025,-0.004406438659218489,0.03550864056877003,0.012405547153780326,-0.002559843763450723,-0.01952435957008123,-0.024225930004761878,-0.05231212735465809,-0.09103381492253032,-0.1465568802145416
주식소각결정,코스닥시장,060570,2025-05-21,2025,0.06412188125769167,0.047659265889863286,0.1254457186361499,0.30093523674931116,-0.1727521061151864,-0.20039561875797754,-0.2058762635151398,-0.24021404706611918,-0.3598361750463703
주식소각결정,코스닥시장,337930,2025-05-21,2025,-0.22725370559676852,0.026269455285892345,0.02178232810831575,-0.0022066662868525507,-0.0017072779275010032,-0.010805526310742181,-0.013760442827890481,-0.017074329640687468,-0.03975593782327598
주식소각결정,코스닥시장,014620,2025-05-21,2025,0.017412961069898175,0.04072294267730674,0.012631615449127208,-0.008323320785108376,-0.01816026938049251,0.049023533518317654,0.027051522984075187,0.27715643959008185,0.16964577157843358
주식소각결정,유가증권시장,001560,2025-05-21,2025,-0.01790442732467704,0.02982735153376694,0.04813905491069315,0.005052652573414102,0.01287783925358665,0.01845613553308407,-0.008405379045707434,0.01540682049632925,-0.09100754861001362
주식소각결정,코스닥시장,413630,2025-05-19,2025,-0.009814944845514774,-0.028150139170035664,-0.06517287115821002,-0.003250966155776356,-0.034955278840117246,-0.03503498937460333,-0.03767448665824277,-0.06320680246839902,-0.05913757853804957
주식소각결정,유가증권시장,248070,2025-05-19,2025,-0.04773064286114036,0.009762818840436473,0.03333972170114,-0.002314373639941498,0.025561647151374878,-0.009238447957382934,-0.024111832922326694,-0.07624167455352829,-0.11364629297461593
주식소각결정,유가증권시장,042700,2025-05-19,2025,0.17004456521343825,-0.056807845488782066,-0.06451726959951772,0.019651639308070873,-0.02708966048104622,-0.0755485312883134,-0.06080915998902018,-0.1220419686626947,-0.10060745326411169
주식소각결정,코스닥시장,186230,2025-05-15,2025,0.013499914638183869,-0.001370516388094752,0.00434626815537149,0.0009185544124287214,0.005052814332609776,0.029711320921517494,-0.005821125258804235,-0.07418156964826422,-0.03352907424134054
주식소각결정,코스닥시장,204020,2025-05-15,2025,-0.03062910449083525,0.010801618293865126,0.019679708261816153,0.007969836463710748,0.0012968771751380864,-0.008437503825772706,0.005169009925704408,0.05272136543881417,0.3810562381444833
주식소각결정,코스닥시장,099190,2025-05-15,2025,-0.015790949900564538,0.010990522107056602,0.04097600563118571,-0.0004543629223706625,0.03057196853232351,0.013710310683731276,0.013983491101875082,-0.052006545951798044,-0.03430196700551223
주식소각결정,코스닥시장,039840,2025-05-14,2025,0.026814005781885652,0.0023325539280813403,-0.05303825738442297,-0.0017278131421217219,-0.0530533191373946,-0.05391736419290767,-0.03260399064904071,-0.10753725396583214,-0.15166220669412686
주식소각결정,유가증권시장,009970,2025-05-13,2025,0.03786686029203116,0.04343799260916072,0.05566568389380744,-0.003687364201157382,0.015265523486609074,0.016277061879663494,0.0684225583039498,0.07582952951386399,0.17647993361911163
주식소각결정,코스닥시장,078070,2025-05-13,2025,-0.030112142009490455,0.017536035212600935,0.00841988321121858,-0.00401446942901456,-0.004781796557631204,0.0009114596174013799,0.005220076874247786,-0.008319239823472328,-0.08050642233444448
주식소각결정,유가증권시장,000100,2025-05-13,2025,-0.09606556004155639,0.02546180213297013,0.011022826750950234,-0.011108514479450535,-0.002853602109152047,-0.004494920263035213,-0.009223863579232246,-0.028362321095432044,-0.07824222203762353
