date,equity,n,cash
2026-02-25,1588401.9761402996,10,283741.9761402996
2026-02-26,1559521.9761402996,10,283741.9761402996
2026-02-27,1537941.9761402996,10,283741.9761402996
2026-03-03,1495552.3552647997,10,156467.35526479964
2026-03-04,1393942.3552647997,10,156467.35526479964
2026-03-05,1451282.3552647997,10,156467.35526479964
2026-03-06,1452232.3552647997,10,156467.35526479964
2026-03-09,1408717.3552647997,10,156467.35526479964
2026-03-10,1437282.3552647997,10,156467.35526479964
2026-03-11,1463917.3552647997,10,156467.35526479964
2026-03-12,1469082.3552647997,10,156467.35526479964
2026-03-13,1454087.3552647997,10,156467.35526479964
2026-03-16,1450762.3552647997,10,156467.35526479964
2026-03-17,1448777.3552647997,10,156467.35526479964
2026-03-18,1451377.3552647997,10,156467.35526479964
2026-03-19,1428847.3552647997,10,156467.35526479964
2026-03-20,1454162.3552647997,10,156467.35526479964
2026-03-23,1408477.3552647997,10,156467.35526479964
2026-03-24,1433282.3552647997,10,156467.35526479964
2026-03-25,1446172.3552647997,10,156467.35526479964
2026-03-26,1435662.3552647997,10,156467.35526479964
2026-03-27,1432922.3552647997,10,156467.35526479964
2026-03-30,1408352.3552647997,10,156467.35526479964
2026-03-31,1389147.3552647997,10,156467.35526479964
2026-04-01,1407739.3461847997,10,155269.34618479968
2026-04-02,1363154.3461847997,10,155269.34618479968
2026-04-03,1382644.3461847997,10,155269.34618479968
2026-04-06,1379909.3461847997,10,155269.34618479968
2026-04-07,1369284.3461847997,10,155269.34618479968
2026-04-08,1406114.3461847997,10,155269.34618479968
2026-04-09,1402119.3461847997,10,155269.34618479968
2026-04-10,1425304.3461847997,10,155269.34618479968
2026-04-13,1420349.3461847997,10,155269.34618479968
2026-04-14,1427254.3461847997,10,155269.34618479968
2026-04-15,1453419.3461847997,10,155269.34618479968
2026-04-16,1462589.3461847997,10,155269.34618479968
2026-04-17,1461609.3461847997,10,155269.34618479968
2026-04-20,1456279.3461847997,10,155269.34618479968
2026-04-21,1455219.3461847997,10,155269.34618479968
2026-04-22,1458549.3461847997,10,155269.34618479968
2026-04-23,1467499.3461847997,10,155269.34618479968
2026-04-24,1481964.3461847997,10,155269.34618479968
2026-04-27,1487104.3461847997,10,155269.34618479968
2026-04-28,1486904.3461847997,10,155269.34618479968
2026-04-29,1507319.3461847997,10,155269.34618479968
2026-04-30,1497944.3461847997,10,155269.34618479968
2026-05-04,1499887.0390087992,10,117307.03900879933
2026-05-06,1482902.0390087992,10,117307.03900879933
2026-05-07,1489582.0390087992,10,117307.03900879933
2026-05-08,1496877.0390087992,10,117307.03900879933
2026-05-11,1464137.0390087992,10,117307.03900879933
2026-05-12,1436657.0390087992,10,117307.03900879933
2026-05-13,1424971.0390087992,10,117307.03900879933
2026-05-14,1444132.0390087992,10,117307.03900879933
2026-05-15,1471227.0390087992,10,117307.03900879933
2026-05-18,1446407.0390087992,10,117307.03900879933
2026-05-19,1422230.0390087992,10,117307.03900879933
2026-05-20,1391378.0390087992,10,117307.03900879933
2026-05-21,1404214.0390087992,10,117307.03900879933
2026-05-22,1445722.0390087992,10,117307.03900879933
2026-05-26,1427669.0390087992,10,117307.03900879933
2026-05-27,1396471.0390087992,10,117307.03900879933
2026-05-28,1388062.0390087992,10,117307.03900879933
2026-05-29,1375943.0390087992,10,117307.03900879933
2026-06-01,1341408.7086216994,10,102173.70862169928
2026-06-02,1345658.7086216994,10,102173.70862169928
2026-06-04,1345913.7086216994,10,102173.70862169928
2026-06-05,1331323.7086216994,10,102173.70862169928
2026-06-08,1268086.7086216994,10,102173.70862169928
2026-06-09,1301786.7086216994,10,102173.70862169928
2026-06-10,1292398.7086216994,10,102173.70862169928
2026-06-11,1306043.7086216994,10,102173.70862169928
2026-06-12,1341893.7086216994,10,102173.70862169928
2026-06-15,1342508.7086216994,10,102173.70862169928
2026-06-16,1343333.7086216994,10,102173.70862169928
2026-06-17,1345443.7086216994,10,102173.70862169928
2026-06-18,1299328.7086216994,10,102173.70862169928
2026-06-19,1282333.7086216994,10,102173.70862169928
2026-06-22,1261972.7086216994,10,102173.70862169928
2026-06-23,1217625.7086216994,10,102173.70862169928
2026-06-24,1219115.7086216994,10,102173.70862169928
2026-06-25,1216768.7086216994,10,102173.70862169928
2026-06-26,1187819.7086216994,10,102173.70862169928
2026-06-29,1268345.7086216994,10,102173.70862169928
2026-06-30,1265185.7086216994,10,102173.70862169928
2026-07-01,1302960.8817906992,10,89440.88179069915
2026-07-02,1293800.8817906992,10,89440.88179069915
2026-07-03,1310397.8817906992,10,89440.88179069915
2026-07-06,1316806.8817906992,10,89440.88179069915
2026-07-07,1321684.8817906992,10,89440.88179069915
2026-07-08,1292725.8817906992,10,89440.88179069915
2026-07-09,1281540.8817906992,10,89440.88179069915
2026-07-10,1343172.8817906992,10,89440.88179069915
2026-07-13,1315185.8817906992,10,89440.88179069915
2026-07-14,1306850.8817906992,10,89440.88179069915
2026-07-15,1345030.8817906992,10,89440.88179069915
2026-07-16,1351595.8817906992,10,89440.88179069915
2026-07-20,1332935.8817906992,10,89440.88179069915
2026-07-21,1356300.8817906992,10,89440.88179069915
2026-07-22,1368057.8817906992,10,89440.88179069915
2026-07-23,1491660.8817906992,10,89440.88179069915
